ex;perhidro;mes;Local;ano;hora;num;sp;CP;peso;Sexo;EstMat;Gordura;pesoevis;Categoria; anom.min ;anom.max;anom.cheia;anom.seca;hidro.min;hidro.max;dur_cheia;dur_seca;estomago;gr
98;seca;nov/08;Lago do Padre;10;N;44097;Serrasalmus sp.n. robertsonii;9.00;18.6;F;2;1;17.0 ;mutilador ;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;1;NA
99;enchente;dez/08;Lago do Padre;10;CV;44151;Hoplias malabaricus;21.5;202.9;F;3;2;179.5;carnivoro;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CV;44152;Cichla monoculus;14.9;71.00 ;M;NA;0;68.0 ;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CV;44159;Acestrorhynchus falcirostris;24.3;142.2;M;NA;2;133.9;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CV;44160;Acestrorhynchus falcirostris;26.4;186.3;M;NA;2;170.0 ;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CV;44161;Acestrorhynchus falcirostris;25.5;131.9;M;NA;0;124.2;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CV;44162;Acestrorhynchus falcirostris;31.5;378.00 ;F;3;2;314.3;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;1;NA
99;enchente;dez/08;Lago do Padre;10;CV;44163;Acestrorhynchus falcirostris;27.6;230.4;M;NA;2;212.4;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CV;44164;Acestrorhynchus falcirostris;26.8;218.7;F;3;2;162.8;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;1;NA
99;enchente;dez/08;Lago do Padre;10;CV;44165;Acestrorhynchus falcirostris;26.8;173.7;M;NA;2;159.5;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
